open,high,low,close,volume,timestamp
56296.52000000,56564.17000000,56186.16000000,56498.56000000,1851.36180000,1620341999999
56498.56000000,56794.40000000,56254.29000000,56393.68000000,1983.91408900,1620345599999
56393.68000000,57122.17000000,56028.46000000,56376.29000000,3672.24582300,1620349199999
56376.33000000,56565.88000000,55900.00000000,56197.07000000,2788.43656100,1620352799999
56197.06000000,56397.02000000,55500.00000000,55829.28000000,3948.54230300,1620356399999
55829.28000000,56150.00000000,55476.74000000,55705.67000000,2806.85477400,1620359999999
55705.67000000,55890.98000000,55241.63000000,55830.90000000,2863.08677500,1620363599999
55830.90000000,56106.34000000,55712.39000000,55795.36000000,2090.09086000,1620367199999
55795.37000000,56194.10000000,55640.37000000,56109.00000000,2046.18480100,1620370799999
56109.01000000,56280.88000000,55675.01000000,55766.34000000,2695.50542500,1620374399999
55766.33000000,56162.44000000,55570.35000000,56086.50000000,2576.32011300,1620377999999
56086.51000000,56550.00000000,56039.72000000,56231.46000000,2620.19253800,1620381599999
56231.46000000,56689.70000000,56231.46000000,56400.57000000,2919.38660400,1620385199999
56400.57000000,56784.00000000,56217.22000000,56464.74000000,2314.39442700,1620388799999
56464.74000000,57586.48000000,56228.24000000,57459.27000000,4593.53839200,1620392399999
57459.27000000,57680.00000000,56900.00000000,56997.47000000,3296.20162600,1620395999999
56997.47000000,57215.75000000,56696.00000000,57129.50000000,3492.07845800,1620399599999
57129.50000000,57600.00000000,57050.16000000,57519.24000000,3408.10125600,1620403199999
57519.25000000,58300.00000000,57132.65000000,58300.00000000,5939.71809000,1620406799999
58300.00000000,58650.00000000,57908.86000000,58119.99000000,4412.93169300,1620410399999
58120.00000000,58208.66000000,57621.41000000,57890.03000000,2968.38341500,1620413999999
57890.02000000,57997.94000000,57430.00000000,57584.01000000,2647.59483500,1620417599999
57584.01000000,58074.31000000,57376.25000000,57607.97000000,2379.64930800,1620421199999
57607.97000000,57623.91000000,57147.00000000,57358.44000000,2436.81145100,1620424799999
57358.45000000,57571.29000000,56749.75000000,57030.92000000,3551.83694800,1620428399999
57030.92000000,57389.21000000,57020.13000000,57314.75000000,2074.66135300,1620431999999
57315.49000000,57761.78000000,56900.00000000,57700.78000000,2546.93972600,1620435599999
57700.53000000,57788.79000000,57424.01000000,57558.89000000,1754.88826300,1620439199999
57558.90000000,58310.29000000,57500.34000000,58253.20000000,2594.86695900,1620442799999
58253.20000000,58400.00000000,57980.94000000,58099.98000000,2309.15696100,1620446399999
58099.86000000,58599.99000000,57950.35000000,58057.02000000,2397.86149900,1620449999999
58057.01000000,58067.32000000,57791.00000000,57877.97000000,1935.91829200,1620453599999
57877.97000000,57975.31000000,57500.00000000,57804.10000000,1863.15103200,1620457199999
57804.09000000,58540.01000000,57604.06000000,58463.06000000,2932.63741700,1620460799999
58463.06000000,59379.26000000,58458.29000000,58856.56000000,6420.29171900,1620464399999
58856.57000000,59173.30000000,58632.80000000,58799.99000000,2999.23681300,1620467999999
58800.00000000,58888.00000000,58305.00000000,58539.56000000,2303.58396100,1620471599999
58539.56000000,58802.09000000,58350.00000000,58556.09000000,1682.31285400,1620475199999
58556.09000000,59118.30000000,58213.76000000,58862.79000000,2917.22549700,1620478799999
58862.80000000,59438.64000000,58700.00000000,58828.25000000,4759.95811500,1620482399999
58828.26000000,59060.00000000,58601.00000000,58946.32000000,2809.75111100,1620485999999
58947.47000000,58947.48000000,57472.95000000,57599.87000000,5851.53919100,1620489599999
57599.86000000,58500.00000000,57560.63000000,58381.14000000,4739.33967100,1620493199999
58381.14000000,59050.45000000,58139.91000000,58898.98000000,3815.39126900,1620496799999
58901.45000000,59251.04000000,58901.45000000,59060.57000000,2937.03940600,1620500399999
59060.57000000,59300.00000000,58863.18000000,59030.56000000,2046.45176000,1620503999999
59030.56000000,59500.00000000,58755.00000000,58935.31000000,2346.62585800,1620507599999
58935.31000000,59098.99000000,58623.21000000,58782.49000000,1893.88351500,1620511199999
58782.48000000,59119.95000000,58477.94000000,58567.12000000,2395.94596500,1620514799999
58567.12000000,58886.80000000,58466.00000000,58862.05000000,1455.90917400,1620518399999
58866.53000000,59075.00000000,58505.95000000,58527.00000000,1976.42390000,1620521999999
58527.00000000,59239.58000000,58325.09000000,59126.14000000,3062.47133300,1620525599999
59126.14000000,59147.94000000,58500.00000000,58605.00000000,2107.17232100,1620529199999
58605.03000000,59300.00000000,58465.96000000,58632.78000000,4827.16940700,1620532799999
58635.72000000,58974.91000000,57575.00000000,58157.87000000,9149.35458300,1620536399999
58157.87000000,58568.96000000,57937.27000000,58446.51000000,2314.06112600,1620539999999
58446.51000000,58620.16000000,58000.00000000,58337.57000000,2438.27011900,1620543599999
58337.57000000,58342.70000000,57711.71000000,57965.59000000,2152.61758000,1620547199999
57965.59000000,58250.00000000,57815.02000000,58159.60000000,2238.70975200,1620550799999
58159.59000000,58400.00000000,57589.94000000,57952.52000000,2908.17517400,1620554399999
57952.53000000,58052.33000000,57535.61000000,57955.04000000,2470.68717700,1620557999999
57955.04000000,58200.00000000,57865.85000000,57907.49000000,2156.90452700,1620561599999
57907.49000000,58000.00000000,56235.66000000,56433.53000000,7334.09008800,1620565199999
56433.54000000,57387.77000000,56402.90000000,57220.02000000,3553.65517600,1620568799999
57220.01000000,57485.00000000,57111.41000000,57170.90000000,2243.80578200,1620572399999
57170.90000000,57425.20000000,57000.00000000,57379.58000000,1889.57535600,1620575999999
57379.58000000,57883.11000000,57300.01000000,57600.01000000,2503.12095300,1620579599999
57600.00000000,57660.30000000,57262.51000000,57458.73000000,1615.94580800,1620583199999
57458.73000000,57638.20000000,57199.80000000,57439.39000000,1531.72537600,1620586799999
57441.61000000,57569.00000000,57048.96000000,57266.97000000,2492.94064500,1620590399999
57266.97000000,57999.00000000,57179.18000000,57844.18000000,2673.74865700,1620593999999
57844.18000000,58180.00000000,57778.85000000,58025.89000000,1924.11491000,1620597599999
